OrganizationName,OrganizationID,RepositoryURL,VulnerabilityID,PkgID,PkgName,InstalledVersion,FixedVersion,Status,Severity,CweIDs,CVSS,PrimaryURL,References,PublishedDate,LastModifiedDate,Title,Target,Class,Type,Description
,,https://github.com/zjunlp/EasyEdit,CVE-2023-6572,gradio@4.5.0,gradio,4.5.0,4.14.0,fixed,CRITICAL,['CWE-77'],"{'ghsa': {'V3Vector': 'CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N', 'V3Score': 9.6}, 'nvd': {'V3Vector': 'CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N', 'V3Score': 8.1}}",https://avd.aquasec.com/nvd/cve-2023-6572,"['https://github.com/gradio-app/gradio', 'https://github.com/gradio-app/gradio/commit/5b5af1899dd98d63e1f9b48a93601c2db1f56520', 'https://github.com/pypa/advisory-database/tree/main/vulns/gradio/PYSEC-2023-255.yaml', 'https://huntr.com/bounties/21d2ff0c-d43a-4afd-bb4d-049ee8da5b5c', 'https://nvd.nist.gov/vuln/detail/CVE-2023-6572']",2023-12-14T14:15:46.013Z,2024-02-28T14:08:41.697Z,Gradio Exposure of Sensitive Information to an Unauthorized Actor vulnerability,demo/SafeEdit_demo/requirements.txt,lang-pkgs,pip,Command Injection in GitHub repository gradio-app/gradio prior to main.
,,https://github.com/zjunlp/EasyEdit,CVE-2023-51449,gradio@4.5.0,gradio,4.5.0,4.11.0,fixed,HIGH,['CWE-22'],"{'ghsa': {'V3Vector': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:L', 'V3Score': 8.6}, 'nvd': {'V3Vector': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N', 'V3Score': 7.5}}",https://avd.aquasec.com/nvd/cve-2023-51449,"['https://github.com/gradio-app/gradio', 'https://github.com/gradio-app/gradio/commit/1b9d4234d6c25ef250d882c7b90e1f4039ed2d76', 'https://github.com/gradio-app/gradio/commit/7ba8c5da45b004edd12c0460be9222f5b5f5f055', 'https://github.com/gradio-app/gradio/security/advisories/GHSA-6qm2-wpxq-7qh2', 'https://github.com/pypa/advisory-database/tree/main/vulns/gradio/PYSEC-2023-249.yaml', 'https://nvd.nist.gov/vuln/detail/CVE-2023-51449']",2023-12-22T21:15:09Z,2024-01-09T20:18:05.027Z,Gradio makes the `/file` secure against file traversal and server-side request forgery attacks,demo/SafeEdit_demo/requirements.txt,lang-pkgs,pip,"Gradio is an open-source Python package that allows you to quickly build a demo or web application for your machine learning model, API, or any arbitary Python function. Versions of `gradio` prior to 4.11.0 contained a vulnerability in the `/file` route which made them susceptible to file traversal attacks in which an attacker could access arbitrary files on a machine running a Gradio app with a public URL (e.g. if the demo was created with `share=True`, or on Hugging Face Spaces) if they knew the path of files to look for. This issue has been patched in version 4.11.0."
,,https://github.com/zjunlp/EasyEdit,CVE-2024-0964,gradio@4.5.0,gradio,4.5.0,4.9.0,fixed,HIGH,['CWE-22'],"{'ghsa': {'V3Vector': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N', 'V3Score': 7.5}, 'nvd': {'V3Vector': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:L', 'V3Score': 9.4}}",https://avd.aquasec.com/nvd/cve-2024-0964,"['https://github.com/gradio-app/gradio', 'https://github.com/gradio-app/gradio/commit/d76bcaaaf0734aaf49a680f94ea9d4d22a602e70', 'https://huntr.com/bounties/25e25501-5918-429c-8541-88832dfd3741', 'https://nvd.nist.gov/vuln/detail/CVE-2024-0964']",2024-02-05T23:15:08.19Z,2024-02-13T18:42:22.847Z,Gradio Path Traversal vulnerability,demo/SafeEdit_demo/requirements.txt,lang-pkgs,pip,A local file include could be remotely triggered in Gradio due to a vulnerable user-supplied JSON value in an API request.
,,https://github.com/zjunlp/EasyEdit,CVE-2024-1561,gradio@4.5.0,gradio,4.5.0,4.13.0,fixed,HIGH,['CWE-29'],"{'ghsa': {'V3Vector': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N', 'V3Score': 7.5}}",https://avd.aquasec.com/nvd/cve-2024-1561,"['https://github.com/gradio-app/gradio', 'https://github.com/gradio-app/gradio/commit/24a583688046867ca8b8b02959c441818bdb34a2', 'https://huntr.com/bounties/4acf584e-2fe8-490e-878d-2d9bf2698338', 'https://nvd.nist.gov/vuln/detail/CVE-2024-1561', 'https://www.gradio.app/changelog#4-13-0']",2024-04-16T00:15:08.887Z,2024-05-10T15:15:07.133Z,gradio vulnerable to Path Traversal,demo/SafeEdit_demo/requirements.txt,lang-pkgs,pip,"An issue was discovered in gradio-app/gradio, where the `/component_server` endpoint improperly allows the invocation of any method on a `Component` class with attacker-controlled arguments. Specifically, by exploiting the `move_resource_to_block_cache()` method of the `Block` class, an attacker can copy any file on the filesystem to a temporary directory and subsequently retrieve it. This vulnerability enables unauthorized local file read access, posing a significant risk especially when the application is exposed to the internet via `launch(share=True)`, thereby allowing remote attackers to read files on the host machine. Furthermore, gradio apps hosted on `huggingface.co` are also affected, potentially leading to the exposure of sensitive information such as API keys and credentials stored in environment variables."
,,https://github.com/zjunlp/EasyEdit,CVE-2024-1728,gradio@4.5.0,gradio,4.5.0,4.19.2,fixed,HIGH,['CWE-22'],"{'ghsa': {'V3Vector': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N', 'V3Score': 7.5}}",https://avd.aquasec.com/nvd/cve-2024-1728,"['https://github.com/gradio-app/gradio', 'https://github.com/gradio-app/gradio/commit/16fbe9cd0cffa9f2a824a0165beb43446114eec7', 'https://huntr.com/bounties/9bb33b71-7995-425d-91cc-2c2a2f2a068a', 'https://nvd.nist.gov/vuln/detail/CVE-2024-1728']",2024-04-10T17:15:53.097Z,2024-04-10T19:49:51.183Z,Gradio Local File Inclusion vulnerability,demo/SafeEdit_demo/requirements.txt,lang-pkgs,pip,"gradio-app/gradio is vulnerable to a local file inclusion vulnerability due to improper validation of user-supplied input in the UploadButton component. Attackers can exploit this vulnerability to read arbitrary files on the filesystem, such as private SSH keys, by manipulating the file path in the request to the `/queue/join` endpoint. This issue could potentially lead to remote code execution. The vulnerability is present in the handling of file upload paths, allowing attackers to redirect file uploads to unintended locations on the server."
,,https://github.com/zjunlp/EasyEdit,CVE-2024-2206,gradio@4.5.0,gradio,4.5.0,4.18.0,fixed,HIGH,['CWE-918'],"{'ghsa': {'V3Vector': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L', 'V3Score': 7.3}}",https://avd.aquasec.com/nvd/cve-2024-2206,"['https://github.com/gradio-app/gradio', 'https://github.com/gradio-app/gradio/commit/49d9c48537aa706bf72628e3640389470138bdc6', 'https://huntr.com/bounties/2286c1ed-b889-45d6-adda-7014ea06d98e', 'https://nvd.nist.gov/vuln/detail/CVE-2024-2206']",2024-03-27T01:15:46.613Z,2024-04-16T12:15:10.187Z,gradio Server-Side Request Forgery vulnerability,demo/SafeEdit_demo/requirements.txt,lang-pkgs,pip,"An SSRF vulnerability exists in the gradio-app/gradio due to insufficient validation of user-supplied URLs in the `/proxy` route. Attackers can exploit this vulnerability by manipulating the `self.replica_urls` set through the `X-Direct-Url` header in requests to the `/` and `/config` routes, allowing the addition of arbitrary URLs for proxying. This flaw enables unauthorized proxying of requests and potential access to internal endpoints within the Hugging Face space. The issue arises from the application's inadequate checking of safe URLs in the `build_proxy_request` function."
,,https://github.com/zjunlp/EasyEdit,CVE-2024-1183,gradio@4.5.0,gradio,4.5.0,4.10.0,fixed,MEDIUM,['CWE-601'],"{'ghsa': {'V3Vector': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N', 'V3Score': 6.5}}",https://avd.aquasec.com/nvd/cve-2024-1183,"['https://github.com/gradio-app/gradio', 'https://github.com/gradio-app/gradio/commit/2ad3d9e7ec6c8eeea59774265b44f11df7394bb4', 'https://github.com/gradio-app/gradio/commit/7ba8c5da45b004edd12c0460be9222f5b5f5f055', 'https://huntr.com/bounties/103434f9-87d2-42ea-9907-194a3c25007c', 'https://nvd.nist.gov/vuln/detail/CVE-2024-1183']",2024-04-16T00:15:07.99Z,2024-04-16T13:24:07.103Z,gradio Server-Side Request Forgery vulnerability,demo/SafeEdit_demo/requirements.txt,lang-pkgs,pip,"An SSRF (Server-Side Request Forgery) vulnerability exists in the gradio-app/gradio repository, allowing attackers to scan and identify open ports within an internal network. By manipulating the 'file' parameter in a GET request, an attacker can discern the status of internal ports based on the presence of a 'Location' header or a 'File not allowed' error in the response."
,,https://github.com/zjunlp/EasyEdit,CVE-2024-1727,gradio@4.5.0,gradio,4.5.0,4.19.2,fixed,MEDIUM,['CWE-352'],"{'ghsa': {'V3Vector': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L', 'V3Score': 4.3}}",https://avd.aquasec.com/nvd/cve-2024-1727,"['https://github.com/gradio-app/gradio', 'https://github.com/gradio-app/gradio/commit/84802ee6a4806c25287344dce581f9548a99834a', 'https://github.com/gradio-app/gradio/pull/7503', 'https://huntr.com/bounties/a94d55fb-0770-4cbe-9b20-97a978a2ffff', 'https://nvd.nist.gov/vuln/detail/CVE-2024-1727']",2024-03-21T20:15:07.62Z,2024-04-16T12:15:09.843Z,Cross-Site Request Forgery in Gradio,demo/SafeEdit_demo/requirements.txt,lang-pkgs,pip,"A Cross-Site Request Forgery (CSRF) vulnerability in gradio-app/gradio allows attackers to upload multiple large files to a victim's system if they are running Gradio locally. By crafting a malicious HTML page that triggers an unauthorized file upload to the victim's server, an attacker can deplete the system's disk space, potentially leading to a denial of service. This issue affects the file upload functionality as implemented in gradio/routes.py."
,,https://github.com/zjunlp/EasyEdit,CVE-2024-1729,gradio@4.5.0,gradio,4.5.0,4.19.2,fixed,MEDIUM,['CWE-367'],"{'ghsa': {'V3Vector': 'CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N', 'V3Score': 5.9}}",https://avd.aquasec.com/nvd/cve-2024-1729,"['https://github.com/gradio-app/gradio', 'https://github.com/gradio-app/gradio/commit/e329f1fd38935213fe0e73962e8cbd5d3af6e87b', 'https://github.com/gradio-app/gradio/releases/tag/gradio%404.19.2', 'https://github.com/gradio-app/gradio/security/advisories/GHSA-hmx6-r76c-85g9', 'https://huntr.com/bounties/f6a10a8d-f538-4cb7-9bb2-85d9f5708124', 'https://nvd.nist.gov/vuln/detail/CVE-2024-1729']",2024-03-29T05:15:45.477Z,2024-04-16T12:15:09.93Z,Gradio apps vulnerable to timing attacks to guess password,demo/SafeEdit_demo/requirements.txt,lang-pkgs,pip,"A timing attack vulnerability exists in the gradio-app/gradio repository, specifically within the login function in routes.py. The vulnerability arises from the use of a direct comparison operation (`app.auth[username] == password`) to validate user credentials, which can be exploited to guess passwords based on response times. Successful exploitation of this vulnerability could allow an attacker to bypass authentication mechanisms and gain unauthorized access."
,,https://github.com/zjunlp/EasyEdit,CVE-2024-34511,gradio@4.5.0,gradio,4.5.0,4.13.0,fixed,MEDIUM,,"{'ghsa': {'V3Vector': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:N', 'V3Score': 6.5}}",https://avd.aquasec.com/nvd/cve-2024-34511,"['https://github.com/gradio-app/gradio', 'https://github.com/gradio-app/gradio/commit/24a583688046867ca8b8b02959c441818bdb34a2', 'https://nvd.nist.gov/vuln/detail/CVE-2024-34511', 'https://www.gradio.app/changelog#4-13-0']",2024-05-05T20:15:07.627Z,2024-05-14T15:39:15.78Z,Gradio's Component Server does not properly consider` _is_server_fn` for functions,demo/SafeEdit_demo/requirements.txt,lang-pkgs,pip,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2024-1561. Reason: This candidate is a duplicate of CVE-2024-1561. Notes: All CVE users should reference CVE-2024-1561 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage.
